geofips,location_name,state,geography_type,year,mode,dest,orig,vmt,dist_within,inflow,outflow
6009,Calaveras County,CA,county,2023,BIKING,2683997,2772727,2728362,2248095,217951,262316
6009,Calaveras County,CA,county,2023,CARPOOL,223949388,242015796,232982592,46158658,88895365,97928569
6009,Calaveras County,CA,county,2023,COMMERCIAL,22947699,27897836,25422767,7452617,7747541,10222609
6009,Calaveras County,CA,county,2023,ON_DEMAND_AUTO,678178,641318,659748,287674,195252,176822
6009,Calaveras County,CA,county,2023,OTHER_TRAVEL_MODE,42420506,48991314,45705910,1002859,20708824,23994228
6009,Calaveras County,CA,county,2023,PRIVATE_AUTO,701520326,673387809,687454067,199151337,251184494,237118236
6009,Calaveras County,CA,county,2023,WALKING,4258355,4253244,4255800,4199134,29610,27055
6011,Colusa County,CA,county,2019,BIKING,917907,921362,919635,703563,107172,108900
6011,Colusa County,CA,county,2019,CARPOOL,72682588,95783695,84233141,16600301,28041144,39591697
6011,Colusa County,CA,county,2019,COMMERCIAL,166486118,165327792,165906955,32970949,66757584,66178421
6011,Colusa County,CA,county,2019,ON_DEMAND_AUTO,898695,1098959,998827,300922,298886,399019
6011,Colusa County,CA,county,2019,OTHER_TRAVEL_MODE,61470812,65996500,63733656,1247553,30111630,32374474
6011,Colusa County,CA,county,2019,PRIVATE_AUTO,276127077,262950022,269538549,54706149,110710464,104121936
6011,Colusa County,CA,county,2019,WALKING,1401058,1380292,1390675,1376795,12131,1749
6011,Colusa County,CA,county,2021,BIKING,346858,347874,347366,326105,10376,10884
6011,Colusa County,CA,county,2021,CARPOOL,165396222,192686832,179041527,20529010,72433606,86078911
6011,Colusa County,CA,county,2021,COMMERCIAL,138845134,140823778,139834456,18231778,60306678,61296000
6011,Colusa County,CA,county,2021,ON_DEMAND_AUTO,459041,582150,520596,234333,112354,173909
6011,Colusa County,CA,county,2021,OTHER_TRAVEL_MODE,40340640,53621718,46981179,768760,19785940,26426479
6011,Colusa County,CA,county,2021,PRIVATE_AUTO,272552462,252606673,262579568,54714673,108918894,98946000
6011,Colusa County,CA,county,2021,WALKING,1890652,1874111,1882381,1873142,8755,484
6011,Colusa County,CA,county,2022,BIKING,941027,948286,944657,820801,60113,63743
